Konkani_sentences,Sentiment
दुयेंतीक हागतना खुबूच जाळ आनी त्रास पडटात.,Negative
झर्‍या मेरेन वचपाचो रस्तो रानांतल्यान आनी दोंगरां मदल्यान वता.,Neutral
दुदसागराचें व्हांवतें उदक मुखार वचून हेच खांडेपार न्हंयेंत मेळटा.,Neutral
"वयर वचपा खातीर ल्हान सोंपणां बांदल्यांत , चारूय वटांनी वेदी बांदल्यात.",Negative
मनरिजवणेच्या सगळ्या साधनांचे खूब पोरणें नांव  क्रीडा  आशिल्लें.,Negative
झुजा वेळार जाल्ल्या भिरांकूळ रक्तपातान ताका बौद्ध धर्म आपणावपाक भाग पाडलो.,Negative
ह्या सवायपणांत अशक्याक शक्य करपाची तांक आसा.,Negative
"उसरान काय आसना , भारत सरकाराची नदर ह्या संग्रहालयाचेर पडल्या.",Negative
लखनौच्या पायणींनी एक आगळीच ओड आसा.,Neutral
पूण खूबश्या बायलां मदीं तीं तांबडें लिपस्टीक लावंक शकनात हो चुकीचो समज आसा.,Positive
दोंगराळ वाठारांनी बियांचे नर्सरींत मार्च एप्रील म्हयन्यांत पेरतात.,Neutral
परशुराम आनी माता रेणुकाचें देवूळ खास आसा.,Positive
१८५७चे दुख्खी घडणुके उपरांत इंग्लेज सैनिकांनी लाल किल्ल्याचेर ताबो मेळयलो.,Negative
वेवसायीक शेती ह्या तरेची शेती आधुनीक विकासाची देणगी आसा.,Neutral
निर्याता खातीर भारतांत फुलांचें उत्पादनांत पांरपारीक फुलां सोडून कापिल्ल्या फुलां कडेन गेलो.,Neutral
जिणेचो कसलोच भाग असो ना जो अपघातांनी आफडूंक ना.,Neutral
अमिताभा शिवाय रफीक शम्मी कपूर आनी धर्मेंद्राचे सिनेमाय खूब आवडटाले.,Positive
डेरिवेटीव उत्पादनांचो वापर धोक्याच्या कबलाती खेरीज व्हड स्तरार सट्टेबाजां वतीन करतात.,Neutral
हज़ारों ख्वाहिशें ऐसीत  भायल्यातल्यान आयिल्ले लोक गांवकर्‍यां खातीर झुजतात.,Neutral
कापसाची शेती बाकीच्या पिकां भशेन रसायनीक सार्‍या बगर हेर जाग्यांचेर करतात.,Positive
कृशी क्षेत्रांनी सादारण ६४ % कामगारांक काम मेळ्ळां.,Negative
लोकसंख्येच्या अभावान दर मनशाक उत्पादन खूब चड आसता.,Positive
क्रायोप्रेसिपिटेट हें खाशेले तरेन हिमोफिलियाचो पिडेस्त वा आनी खंयच्याय रगत व्हांवपी दुयेंसाचो पिडेस्त हांचे खातीर वापरता.,Negative
कर्नाटकांत न्हंयाच्या धारांनी तयार जाल्लीं कितलींशींच भरते न्हंयेमुखां ( एश्चुअरी ) आसात.,Negative
जर तुमकां भलायकेवंत रावपाक जाय जाल्यार धुम्रपानाक  ना  म्हणात.,Positive
"मुमरांच्या उपचारांत निलगिरी, लॅवॅण्डर, टिटी हींय बी उपेगी आसतात.",Positive
लवंगा सारकें हातूंत लेगीत जायत्या रोगां कडेन झुजपाची तांक आसता.,Positive
उकते सुवातेर सावन तुमचे खाटीर लेगीत त्यो तुमकां मेळूं येतात.,Neutral
एक आध्यात्मीक नेत्याच्या रुपांत तांचो प्रभाव देशांतल्या बुद्धीजिवांचेरय खूब उरलो.,Neutral
"तातूंत स्विमींग पूल , भुरग्यां खातीर पार्क , टॉयट्रन , बी आकर्शणां आसात.",Neutral
ह्या तरेन माती संरक्षणाचे दिशेंत जैवीक शेती सगल्यांत महत्वपूर्ण आसा.,Positive
ह्या पयल्या व्हड्यांत जनावरांक पळोवपाची शक्यताय चड आसता.,Positive
शिंयाच्या मोसमांत चरबेचो शिमीत आनी योग्य उपेग गरजेचो.,Negative
थंय सावन आमी धांवपट्‍टेचेर घुंवून ट्रांस मालदिवियनाच्या तळार पावले.,Negative
"कार्बोहायड्रेटाचें उणें प्रमाण घेतिल्ल्यान  कॅटोसीसची समस्या जाता, जाचो परिणाम मुत्रपिंडाचेर पडटा.",Negative
"सी  सेलीन जिवनसत्व, रिडोक्शनन, बी ह्या दुयेंसांत खाशेल्या रुपान उपेगी आसात.",Positive
हार्मोन थॅरेपी घेवपी बायलांचो मेंदू सदच्या परस चड तिव्रतायेन आंवळून येता.,Negative
शेतांचो आकार कमी जालो : प्रदेशांत शेतांचो आकारय चिंताजनक रुपांत कमी जाला.,Negative
ही मेळोवपाक खंयचेच व्यक्तीक कसलेच त्रास पडनात.,Neutral
आपोलाचो सगल्यांत म्हत्वपूर्ण गूण ताचो प्राण उर्जे पसून पूर्ण जाता.,Positive
पांच माड आशिल्ल्या कारणान हो भुंयभाग  अंचुतेंगु  नांवान फामाद जालो.,Positive
मल्याळम सिनेमा  कलियांचन  आनी मराठी सिनेमा  संहितान  सर्वश्रेश्ठ संगीत निर्देशकाचो पुरस्कार आपल्या नांवार केलो.,Positive
स्केटिंगाची सगल्यांत फामाद तरा म्हणल्यार फिगर वा आर्टिस्टिक स्केटिंग.,Positive
ही घाण पयस करपा खातीर आमकां केंस नेमान धुवचे पडटात.,Neutral
सादारण मनशा मेरेन पावपाचें हें सगल्यान चड प्रभावी माध्यम.,Positive
तेंगशी सुकपाचें दुयेंस : हो खुवानीचो सगळ्यांत भयंकर रोग आसा.,Positive
ओंकारेश्‍वर रोड सावन १२ कि.मि. अंतराचेर ओंकारेश्‍वर आसा.,Neutral
दुयेंतींक बहरेनांत सरकारा वतीन फुकट वखदां मेळटात.,Negative
हाची सादारण ( बियांची ) पीक १२०० ते १५०० किलोग्राम प्रती हॅक्टर आसा.,Negative
असली समस्या सकयल्या प्रकारांनी वांटून घालूं येता.,Neutral
एके वटेन उंटांचो कळप ल्हवल्हव अस्तंते वटेन वतालो.,Negative
प्रत्येक देसाक आपल्या तेच क्षमतायेचो विकास करूंक जाय जातूंत तो मुखेल आसा.,Neutral
पश्चिमी  मिडिया  खूब व्हड स्तराचेर स्वताच्या ह्या विचारांनी येशस्वी लेगीत जायत आसा.,Positive
घराचें काम करतना उदकाच्या संपर्कांत रावचें पडटा.,Negative
दिल्लींत जायतीं प्राचीन आनी पळोवपा सारकीं धार्मीक स्थळां आसात.,Positive
उणी चरबी आनी फायबर आशिल्ल्या आहारान तुमी साबार दुयेंसां पयस दवरूंक शकतात.,Positive
"भुके परस इल्लें उणें खावचें, जाका लागून अपचन जावचें ना.",Negative
खर शाम्पू केंसांचें लुकसाण करूंक शकतात आनी तांची सैमीक वलसाण काबार करूंक शकतात.,Positive
"उत्तर प्रदेश, राजस्थान, हिमाचल प्रदेश, हरियाणा, बी हांगा हें चड रोयतात.",Positive
हातूंत सामाजीक आनी पर्यावरणा संबंदींच्या लुकसाणांचो जाल्यार आसपाव करुंकूच ना.,Neutral
रेंवटाळ राष्‍ट्रीय उद्यानांत विसवघरां आसात.,Positive
मन रोखडेंच तयार जालें आनी हांवेन वेव्हारीक तयारी सुरू केली.,Positive
पूण हाचो हेतू असो निखालूस न्हय की सवंगांचो अभिनय पक्ष प्रभावहीण आसता.,Negative
चडशे हिमालयी ट्रॅक दर दीस 6 ते 8 वरांचे पांयभोंवडेचें मागणें करतात.,Positive
डिस्मेनोरिया ह्या उतराचो वापर खूबच दुख दिवपी म्हयन्यांच्या खातीर करतात.,Negative
१९९३त देशांत लागींलागीं ४ करोड टेलिवीजन सेट आशिल्ले.,Negative
शीं खाल्ल्यान कसलेंय काम करपाची इत्सा जायना.,Negative
हाचे उपरांत तर दुरदर्शनांत बरे वायट धारावाहिकांची रांगूच लागली.,Neutral
"जाचें मुळांत मुखेलपणान संस्कृत , भारतीय कलेच्या शिक्षणाचो उद्देश आशिल्लो.",Positive
पंकजा म्हणटा की सेंसरान कापिल्ल्या दृश्यांक सांबाळून दवरपी खूब कमी सिनेमाकार आसात.,Negative
देखून भारतांतलें बाळक मृत्यू प्रमाण खूब वयर पावलां.,Positive
रांदपाच्या हेर तेलांच्या तुळेंत हें गरम केल्ल्यान कमीत कमीत लुकसाणदिणें आसता.,Negative
सवणें ताका सांबाळपाक लागलें भुरगीं रडिल्ल्यान घरांत बोवाळ जावपाक लागलो.,Negative
स्वताच्या पुताची प्रतिभा पळोवन ताणें शंकरनाक कथकली नृत्य शिकपाची परवानगी दिली.,Neutral
दुयेंसाचे गंभीर अवस्थेंत गंभीर लक्षणां रोखडींच दिश्टी पडूं येतात.,Positive
"हातूंत खूब वाद्य यंत्रा अशी आसात, जाचीं नांवां वयर येवंक ना.",Positive
भुरग्याचे दांत करकरावपा फांटल्यान दंतांचो खूब वांटो आसता.,Negative
हांगा स्वता गाडी घेवन वा टॅक्सीन बी सुशेगाद वचूं येता.,Positive
जहाज महालाच्या फाटल्यान व्हड तळें  मुंज ताल  आसा.,Negative
पारंपरीक शैलीच्या ह्या मुर्त्यांक रंगीत भारतीय भेस घालतात.,Positive
ल्हव ल्हव दुसरीं आंगां लेगीत कॅन्सराच्या चपक्यांत येवं येतात.,Negative
विभागणेची मुखेल लक्षणां तीन कारकांनी स्पश्ट जातात.,Positive
सांसवां भारताच्या मुखेल तेलबियां मदलें आसा.,Positive
समुद्रांत सुर्यस्नानाची गोपालपूरांत खूब मजा घेवं येता.,Positive
हे मुखेल सादूरतायेंत तांकां फळांचो रोस पियेवप लेगीत आसपावता.,Positive
व्यक्तीगत रितीन गेल्यार टॅक्सीन सुमार 100 युरो दर वराक खर्च येता जें म्हारग पडटा.,Negative
रणकपूर देवूळ उदयपूरा सावन 96 किलोमिटरांचेर आसा.,Neutral
वेगळ्यावेगळ्या देशांनी तशेंच जाग्यांनी ह्या धान्यांची वेगळीवेगळी नांवां आसात.,Neutral
हे तरेन  स्लीप प्रॉलॅप्स्ड डिस्कच्या पिडेस्तां मदींय दिसानदीस वाड जायत आसा.,Neutral
मल्लुकेचेर ताबो मेळोवपा खातीर तंत्रिका तंत्राची शांती खूब गरजेची.,Positive
पावसाळ्याचे निरशेवणेक लागून आत्मविश्वास उणो जाता.,Negative
व्हड्या आकाराच्या पाराशर तळ्यांत एक ल्हानसो जुंवो आसा.,Negative
रानवटी जिवीत आनी झर्‍यांक लागून पर्यटकांचें मन भुलयता.,Negative
भुरग्यां खातीर डॉ. राउत तुळशीचो ताजो रोस म्होंवा वांगडा घेवपाचो सल्लो दिता.,Positive
मलयाल कलाग्राममांत योग आनी संस्कृत हांचेय वर्ग चलतात.,Neutral
आतां अंदमान निकोबारांत ५५६ ल्हान व्हड जुव्यांचो पुंजुलो आसा.,Negative
हाचे खातीर दुयेंतीन स्वताच्या धिराचेर आनी उपचाराचेर विस्वास ठाम दवरूंक जाय.,Neutral
भारताच्या मध्यम आनी ल्हान शारांची लेगीत लोकसंख्या हाचे परस चड आसता.,Positive
हेवलॉक जुंव्यार आशिल्लो  राधा नगर बीच  पर्यटकां मदीं खूब लोकप्रीय आसा.,Positive
म्हाका म्हज्या सिनेमांत अमिताभ आनी रूशीच जाय आशिल्ले अशें सुधीर सांगता.,Neutral
हे सामान्यपणान कुडी भितर नियंत्रीत तापमान आनी वातावरणांत उगयतात.,Neutral
सादारणपणान हे फातर मुताचे वाटेंतल्यान कुडींतल्यान भायर काडटात.,Negative
अभ्यासांत णव वर्सांच्या 8 चलयांनी आनी 12 चल्यांनी वांटो घेतिल्लो.,Neutral
पंजाबाच्या फामाद नाच संगितान उत्सवाची सुरवात जाता.,Positive
रायनोप्लास्टीक सादारणपणान  नोज रिशेपींग  वा  नोज जॉब  लेगीत म्हणटात.,Negative
सामान्य मनशाक जाल्यार पयस सवण्यांचो चिंवचिंवाट लेगीत आयकूंक येवपाक कुस्तार.,Negative
सामान्यपणान सुसाध्य तुमोर शल्यचिकित्सा करून काडूं येता आनी तो परत जावपाची शक्यताय नासता.,Negative
हनुमान मूर्त देवूळ खजुराहो गांवात एका पेडार स्थीत आसा.,Neutral
तेलुक बहांगाक पाख्यांचें एक उद्यान लेगीत आसा जें संवसारभर खूब प्रसिद्ध आसा.,Positive
हात धुवपाचे संवयेन हागवणी पसून वाटावं येता.,Neutral
प्रत्येक वेली पसून पाचव्या रंगाच्यो सांगो ४.९४ किलो पीक मेळटा.,Negative
खाण जेवण अनियमीतपणान घेवन दुयेंसांक आपोवन हाडप शाणेपणाचें न्हय.,Neutral
घाटींत अशोका वतीन बांदिल्लीं 4 स्तुपां आसात.,Neutral
म्हणटात की हांगा चिनी यात्री ह्वेनसांग आनी फाहियान आयिल्ले.,Neutral
"शो पयलीं हिंदींत , उपरांत इंग्लेजींत जाता.",Positive
पुल्मांवांनी कफ भरिल्ल्यान दुयेंतीचो जीव घुसमट्‍टा.,Negative
"तेन्नाच भलायकी बरी उरतली, जेन्ना सामकें नितळ आनी शुद्ध उदक मेळटलें.",Positive
"जागेश्‍वराचें धार्मीक , इतिहासीक आनी संस्कृतीक महत्व आसा अशें सगले मानतात.",Neutral
तुमी थकतलीं अशीं जोतीं केन्नाच घालचीं न्हय.,Negative
सिसलीची स्वतंत्र संसद आपलो स्वतंत्र कायदो करता.,Positive
खंयच्या दुयेंसान परत परत खोंकली येवपूच खोंकलेची सगल्यांत व्हड वळख.,Neutral
पिन घाटी राष्‍ट्रीय उद्यानाचें हवामान थंड आनी दोंगराळी आसा.,Negative
पॅडी क्युलस कॅपिरीसाच्या संक्रमणा पसून अरुंषिकाची विकृताय जाता.,Neutral
सांद्यांच्या ( ज्वावण्ट्स ) संदर्भान मुखेल रुपान धोपरांच्या आनी कुल्यांच्या ओपेरेसांवाक आस्पावून घेतलां.,Positive
कालाहाटी घोगो शांत वातावरणांत सोद आनी अभ्यास करपा खातीर खुबूच उत्तम आसा.,Positive
माही प्रमाणें ह्या सिनेमांत तिचो रोल खुबूच डेडली आसा.,Negative
वाडटे पिरायेक लागून जावपी हाडांच्या दुबळेपणाच्या दुयेंसाक ऑस्टियोपोरोसीस म्हणटात.,Negative
"हेर राज्यां भितर उत्तर प्रदेश, गुजरात, कर्नाटक, आंध्र प्रदेश आनी तामिलनाडू आसा.",Negative
हात नमस्काराचे मुद्रेन मुखार दवरात.,Neutral
म्हाराष्ट्रांत सुमार ८०० हॅक्टर जमिनीचेर हाचें बागकाम जाता.,Neutral
"ह्या पोशक तत्वांनी असंतृप्‍त चरबी, ओमॅगा 3 फॅटी एसिडां, फायबर, बी आसपावल्लीं आसतात.",Negative
भास आनी शिल्पाचे बाबतींत ताच्यो कविता नागार्जुनाचो उगडास करून दिता.,Neutral
"कबीर सुरवाते सावन एक दृढ चरित्राचो व्यक्ती आसा, अत्याचार सहन करिना.",Positive
मेथयेची पयली कापणी सादारण पेरणेच्या लागीलागीं ४ आठवड्या उपरांत करूंक जाय.,Neutral
लोक नाटकाच्या रुपांत सवंग मनोरंजनाचें पोरणें साधन आशिल्लें.,Negative
ह्या कारणा खातीर समाचार पत्र जगांतलो संपादकीय विभाग हो एक महत्वाचो विभाग मानतात.,Positive
"चडश्यांचो लक्ष कशे पयशे करचे, हाचेर आसता.",Positive
स्वामी शंकरदासाच्या पयली ताची आपली परंपरा सोडून कांय आनीकूय प्रसिध्द सवंगां लेगीत जाल्यात.,Positive
नाल्लाचें फळूच न्हय तर ताचीं साल्लां लेगीत गुणकारक आसात.,Positive
ब्लॅक होल हांगाची सगल्यांत रोमांचक वॉटर रायड.,Positive
गरमेचें मंद मंद वारें आनी शिंयांतलो बर्फ हांगाचें मुखेल आकर्शण.,Positive
राजा शालिवाहनान कपिल मुनीचे श्रद्धेन भव्य देवूळ बांदिल्लें.,Positive
हेच तरेन पयल्या एका अर्थीक वर्सांत चडशें अनुदान वाडोवन ५ कोटी रुपया केलां.,Neutral
मेवाड वाठारांतलें आहाड मुर्ती कलेचे नदरेंतल्यान म्हत्वपूर्ण आसा.,Positive
जेक्सन हाचे उपरांत रीण फारीक करपा खातीर आसपतेचेर रीण घेवपाक लागिल्लो.,Neutral
न्हाल्ल्यान कुडीच्या कोशिकांनी बळ आनी उत्तेजना हांचो संचार जावंक लागता.,Neutral
ह्या नगराचें नांव दूर्ग त्या किल्ल्याच्या नांवा वयल्यानूच पडलें.,Neutral
हांच्या झाडांचो विस्तार सप्ताळूचे तुळेंत चड आसता.,Positive
हाका लागून काळजाच्या शिरांनी आयिल्ली आडखळ उकती जाता.,Neutral
खूब उंचायेचेर एक घट दोरी बांदताले.,Positive
काश्मिरी आपोलाच्या तुळेंत सवाय आशिल्ल्या कारणान हिमाचलांतलो आपोल सामान्य लोकां मदीं लोकप्रीय आसा.,Negative
"ताचे भायर , हॉर्न मारूं नाकात आनी मोट्यान संगीत लावं नाकात.",Positive
सोयर्‍यांचो भोवमान करप बहरीनच्या संस्काराचें एक आंग जालां अशें हें सगलें पळोवन दिसलें.,Neutral
लोहाच्या उणावाची समस्या संवसारांतल्या सुमार अर्द्या लोकसंख्येंत मेळटा.,Negative
मळबाचो निळो रंग क्षितिजाचो उमो घेतालो.,Neutral
"हाका लागून अजीर्ण, गॅसट्रायटीस, हॅपॅटायटीस तशेंच कोलायटीस, बी दुयेंसां जावं येतात.",Negative
"मानसीक ताण, उच रक्तदाब, काळजाचीं दुयेंसां आनी न्हीद येनासप हाचे खातीर शवासन सगल्यांत बरें.",Positive
हाँगकाँगाक भोंवपाक तुमकां कसलीच आडखळ जावची ना.,Negative
दोनय हातांत दोन भडक रंगाचो लेस बांदतात आनी सामुहीक नृत्य करतात.,Positive
भगताच्या सुरवातेक पयलीं गणपती नाचता आनी आखाड्याचे शिक्षक माचयेर तांकां पुजता.,Neutral
हाचे बरोबर पाचव्या आनी सुक्या चार्‍याची उपलब्धताय तशींच उरता.,Negative
हें ल्हान शेतकारांच्या येणावळीचें एक व्हडलें साधनय आसा.,Neutral
मातशें शीं आनी रुक्ष मोसम पर्यटकां खातीर फावोसो आसा.,Negative
देखून पिडेस्त चडशें आपल्या हातान थरथरपी दुसर्‍या हाताक दाबून दवरता.,Negative
सिगार विडी ओडपाचें उणें जावपा खातीर तांची इत्सा जायनाच फुडें बडिशेप बी खावची.,Neutral
"पूण तरी लेगीत, एकल्याच  वैरायटी सिकींग नेचराचेरूच  विश्वास दवरपाक शकना.",Negative
हिमाच्छादीत हिमालय ह्या भव्य शारा वयर मिनारा भशेन उबो आसा.,Positive
जिविका चलोवपा खातीर ताणें तरेतरेच्यो ल्हान व्हड नोकर्‍यो केल्यो.,Negative
नवी पीक बाजारांत पावपाक अजून थोडो वेळ आसा.,Positive
सार्स आनी दुस‍र्‍या दुयेंसां मदीं खूबश्यो समानतायो आनी वेगळपणां आसात.,Positive
"नर्मदा कुंडा सावन एके बारीक , ल्हान धारेच्या रुपांत नर्मदा अवतरीत जाल्या.",Negative
जिबेचीं दुयेंसां पोटांतले गडबडीक लागून चुकीच्या आहाराचें सेवन करप.,Negative
मनशाचो एक सगल्यांत बरो सोद चॉकलेटी वटेन धांवतलीं.,Positive
हाचे प्रमाणें दोनांय टेलिविजन चॅनलांच्या प्रसारणांचेर कांय वेळा खातीर बंदी हाडिल्ली.,Neutral
फिग्द सांसपून पळयतकच फिग्दाची घटसाण अणभवता.,Negative
मतींत दवरात की खालां ताच्या बदलाक तुमी कश्ट कितले केल्यात.,Negative
"वांगडाच, उच्च केटीचें रेशम प्राप्त करपा खातीर योग्य वेळार वेवस्था आनी गहन देखरेख करतात.",Positive
देवेंद्रनाथाचो पूत रवींद्रनाथ हांगाच्या वातवरणाचेर खूब प्रभावीत जाले.,Positive
"सेगीत खोंकली येवप आनी ताळो सुकप, आवाजांत बदल जावप आनी स्वास घेवपाक त्रास जावप.",Neutral
जळना जाल्यार दुगदुगीत उदकाचो उपेग करपाक जाय.,Negative
केशरा वांगडा एक कोप च्या सद्‍दां पियेल्ल्यान कात भितरल्यान निवळ जाता.,Negative
अशा वेळार ताचे खातीर मोटेपणा पसून मुक्‍ती मेळोवप एक कठीण काम जाता.,Negative
ह्या सगल्यांक लागून वाय गुवाक सुकोवन मलावरोधाची उत्पत्ती करता.,Negative
ल्हवू ल्हवू दबाव वाडयात ताचे उपरांत 10 15 मिणटां विसव घेयात.,Negative
सतत बसपाचें काम आसल्यार मदीं मदीं उठून आंग सदळ करात.,Neutral
खुबशे लोक हें सांगून लेगीत टाळटात की आमी सदांच चलतात तातूंतल्यानूच व्यायाम जाता.,Positive
टॅक्सींतल्यान तुमच्यांनी अडेज वरांनी पुडुचेरी पावूं येता.,Negative
ते दोनूय सानुले हती सुमार १ मिटर उंच आसले आसुये.,Negative
"पांयांक विकृताय जशें किणक, कोर जाल्लो आखाणो, गोखरूं, बी.",Neutral
"हाका स्थलांतरीत शेती, स्थानान्तरणशील शेती, आनी झुमींग शेतीय, म्हणटात.",Neutral
हांगां सावन “ सुमित्रानंदन पंत व्यक्तित्व आनी कृतित्व ” नांवाचें पुस्तकूय प्रकाशीत केलां.,Neutral
आमच्या देशांत फकत शाराच्या लागसारची कृशी अशा स्थितींत पळोवपाक मेळटा.,Neutral
दुयेंत उदक सोडून आनीक कांयच पियेवंक सोदिना.,Negative
आमच्या देशांतल्या कांय वेंचीक शारांनी आतां ही सुविधा आसा.,Positive
हॅपटायटीस-ए आनी बी हांकां संयुक्त वासीन दोन तरांनी मेळटा.,Positive
लक्षणां : फिग्दा कडेन संबंदीत दुयेंसांनी हें एक भयानक दुयेंस.,Negative
हांगाचें सफारी पार्क भुरग्यांक खूब आवडटा.,Positive
जमु आमीर आपल्या गुरूच्याच सुनारीया गांवांत रावतालो.,Positive
