Konkani_sentences,Sentiment
देखून शीं खाल्यार राधान मुनियाचो हे तरेन उपचार केलो.,Negative
"जेन्ना मेरेन ते चलणुकेंत हाडना, ते परिणामकारक जावंक शकनाशिल्ले.",Positive
ओपेरासांव उपरांत पयले भशेन तिका म्हयन्याचें येता आनी तिच्यान संभोग करूं येता.,Positive
शेत कमीत कमी दोन तीन फावटी नांगरून भुसभुशीत करपाक जाय.,Negative
प्राचीन काळांत हें नुस्तेकार आनी हेर लोकां जातींची रावपाची सुवात आशिल्ली.,Negative
पावसाळ्याचे निरशेवणेक लागून उतरा पावलाक राग येता आनी मनीस किरकिरो जाता.,Negative
सांदे दुखीच्या दुयेंतींक आपल्या वजनाचेर ताबो दवरप गरजेचें कारण वजन तांचें दुखणें वाडयता.,Neutral
पार्कांत येरादारीचें एकूच साधन म्हणल्यार ल्हान ल्हान व्हडीं.,Negative
वयर वचपा खातीर फातरांचीं जीं सोंपणां बांदल्यांत तींय खूब उब्बीं आसात.,Positive
समितीचें संचालन म्हावेवस्थापक / मुख्य संपादका वरवीं करतात.,Neutral
हाचे मदीं मदीं भूक उणी लागतली आनी गरजे भायर खावपा पसून वाटावतले.,Negative
हवेंत लेगीत एक वेगळे तरेचो परमळ आसा.,Neutral
भलायकेवंत व्यक्‍तीचे कुडींत सादारणपणान सुमार ५ ६ लिटर रक्‍ताचें प्रमाण आसता.,Positive
हें प्रभाव करपी रुपान रगताक पम्प करता आनी सबंद कुडींत रगताची घोळणी योग्य तरेन जाता.,Positive
कुडींत एकठांयिल्लीं विजातीय तत्त्वां ( टॉक्सिन्स ) कुडींतल्यान भायर सरतात.,Neutral
हे फावटीच्या कान महोत्सवांत भारत एक अतिथी देश.,Neutral
नाक बंद जाल्ल्यान दुयेंतीची तकली दूखुंक लागता.,Negative
ह्या खरेपणा कडेन जुळिल्ल्यो कितल्योश्योच लोकांकाणयो आफ्रिकी लोकां मदीं चलणुकेंत आसात.,Positive
"सोरायसिसांत होमियोपॅथीक दिश्टीकोण : सोरायसीस हें एक सामान्य, खर बिगर संसर्गीक कातीचें दुयेंस.",Negative
राजस्थानांतली सगल्यांत आर्द्रतायेची सुवात मावण्ट आबू ( १५० सेमी. ),Positive
तुवानम घोगो आनी राजीव गांधी राष्ट्रीय बाग मरायूराक लागीं आसात.,Neutral
भोववर्शी रोंपो आशिल्ल्या कारणान हें पीक ३ ४ वर्सां मेरेन फायद्याचें आसता.,Neutral
"हो गांव पर्वतारोहण , रानभोंवडे खातीर एक वेगळो सर्ग.",Positive
"ह्या युगांत यज्ञाचें आयोजन, लोकसंवादा खातीर करताले.",Neutral
वेदांत घोड्यांच्या सर्तीक नांव  आजी  दिलां.,Neutral
म्हणटात की बरे भलायके खातीर बरी न्हीद खूब गरजेची.,Positive
रोवपाच्या तीन वा साडे तीन म्हयन्या उपरांत पीक बरें पिकता.,Neutral
नशेबाजाचेर तयार जाल्लो मल्याळम सिनेमा  स्पिरिटाच्या  समाजीक मुद्याचेर सर्वश्रेश्ठ सिनेमाचो पुरस्कार मेळ्ळो.,Positive
विदेशी भोंवडेकारांनी ह्या पार्काक पर्यावरण पर्यटना खातीर एक मोलादीक स्रोत मानला.,Negative
सिमांत उत्पादनाच्या प्रमाणांत वाड जाल्ल्यान सादारण उत्पादनांत वाड जाता.,Negative
"जुनागड जिल्ल्याचे उत्तरे वटेन , दर्यादेगेर आसा पोरबंदर.",Neutral
"गोडेंमूत हें एक गंभीर दुयेंस, जाका आळाबंदा हाडलेंना जाल्यार तें जीवघेणें लेगीत जावं येता.",Negative
गिरेस्त देसांनी आपली खाद्य सुरक्षा तिगोवन दवरपा खातीरूच अशें केलां.,Positive
डल  तळें हें जम्मू काश्मीरांतलें दुसरें व्हडलें तळें.,Neutral
कालिकाजी नांवाच्या स्थानका सावन ल्हान रेल्वे लायनूय सुरू जाता.,Negative
आतां नेरुदा विश्व पांवड्यार प्रासंगीक जालो आनी रविंद्रनाथ अप्रासंगीक.,Negative
आयज हे घाटयेंत २४ म्हत्वाचीं देवळां बरे स्थितींत आसात.,Positive
ह्या फेस्टीवला खातीर अशें तरेन कापिल्ल्या खुबश्यां दृश्यांक एकठांय करपाचो येत्न करतात.,Positive
"सोंपेपणान बाळंटेर जावचो, ह्या हेतान गुरवारपणांत फावोसो व्यायाम लाबाचो.",Positive
जर सूज आसत तर उदकाचें प्रमाण उणें करूंक जाय.,Neutral
सप्तकांतल्यान ३ ५ दीस ३० मिणटांचो हलको व्यायाम पुरो.,Positive
तलहटी सावन किल्ल्या मेरेन वचपा खातीर खाजगी रज्जूमार्ग सोंपेपणीं मेळटा.,Positive
जल स्तराचें खोलायेर आसप आदर्श स्थिती मानतात.,Positive
जर शिंपणेचें साधन उपलब्ध आसत जाल्यार सारें चड प्रमाणांत घालपाक शकता.,Positive
सगल्या स्थितींनी सगलीं दुयेंसां कसल्या ना कसल्या लक्षणां वांगडा वयर सरतात.,Negative
अहमादाबाद देशाच्या सगल्या लागसारच्या मुखेल शारा सावन रेल्वे मार्गा वरवीं जोडिल्लें आसा.,Neutral
अजमेर शारा मद्दीं आशिल्लें  आनासागर  तळें सगल्यांत मनभुलयणी सुवात.,Positive
नौलखा देवूळ खुबूच सोबीत अशें राधाकृष्ण जोडप्याचे मुर्तींचें देवूळ.,Positive
ताची लोकप्रियताय पळोवन ताचो वेळ वाडोवन अर्द वरां केल्ली.,Negative
यमनोत्री यमुनेची उगम सुवात तशेंच प्रसिद्‌द तीर्थ सुवात.,Positive
"कातीचेर उजळसाण हाडपा खातीर गुलाबपाणी, लिंबू आनी म्होंव घालून लावपाक जाय.",Positive
जर आमी खंयच्याय रोंप्यांक गरजे परस चड सारें घालत जाल्यार ती निर्जीव जातात.,Positive
तिसरे बाण-गंगा सुवातेर एक खूब व्हड चरी आसा.,Positive
विक्रीकर फकत तेच संदर्भांत लागू जाता जंय डिलीवरी घेता वा दिता.,Neutral
मानेचे दुखींत योगासनान चांचणे खातीर मान फाटीं व्हरात.,Neutral
१८५५ ह्या वर्सा ब्रिटनांत स्टांप ड्यूटी सोंपिल्ल्यान पत्रांचे प्रसार वाडूंक लागले.,Neutral
"कुश्टरोग बाकीच्यो पिडां जशें हुरहुरें, टिबी हांचे परस, खूब उणो संसर्गीक आसता.",Negative
कांगडा घांटीचो विस्तृत न्हंयेचो वाठार नुस्तें धरपा खातीर उत्तम संद फावो करता.,Positive
टॅल्युरियम वखद दर अर्द्या वराच्या अंतरान दिवंक जाय.,Negative
भारतांत इंजीन लुब्रीकेंटसाच्या रुपांत वापर करपा खातीर नाल्लाच्या तेलाचें परिक्षण केलां.,Neutral
नव्या जल्मल्ल्या बाळकाच्या दुयेंसांत जिवनसत्व  केच्या  इंजेसांवाचें वखद पियेवपाच्या उपेगांत हाडचें.,Neutral
कुडीचेर येवपी खाजीक लागून कोडू लिंबाचें न्हाण पयलीं पासून उपेग पडत आयलां.,Positive
रोंप्यांची वाड थांबता आनी फुलांची संख्या कमी जाता तशेंच उत्पादकताय कमी जाता.,Neutral
सारंडाचो मोसम वर्सभर चडसो थंडूच आसता.,Negative
वांगडाच दांत घांसपाच्यो योग्य तरा आनी टुथपेस्ट हांचे विशींय तांचें मत घेवचें.,Positive
चेल्लारकोवील हो पिरुमेडूचोच एक वाठार. हांगा जायते घोगे आसात.,Positive
विदेशी  सहयोगाचो  हो सामको खर्चीक स्वाद खूब कोडू सिद्ध जालो.,Negative
ह्या म्हामंडळाच्यो वट्ट 75 एककां आसात.,Neutral
ताजमहालाचें मुखेल दार म्हळ्यार दक्षिणेंतलो दरवटो.,Neutral
ह्या म्हत्वाच्या तत्वाच्या असंतूळणाक लागुनूच आमचें शरीर अस्वस्थ जाता.,Negative
ओपेरासांवा उपरांत थोडो सुसेग घेतकच दादलो घरा वता.,Negative
जर आयक्यू ७० परस उणो आसा जाल्यार मनीस मंदबुद्दीचो मानतात.,Negative
नाडयेचो वेग उणो जावन 40 50 दर मिणटा मेरेन जाता.,Negative
बैंगलुरांत रिहानाच्या शोंत नेटाच्या फ्लोई भेसाच्या सकयल स्ट्रायप्स आशिल्ल्या इनर्साचो उपेग प्रभावी आशिल्लो.,Positive
तपासणे मजगतीं कसलीय गडबड दिसल्यार उपचार जावं येता.,Neutral
ताच्या वाजोवपांत पं. ओमकार नाथाची सया स्पश्ट दिश्टी पडटाली.,Positive
हे राष्ट्रीय बागेंत उदकांत रावपी सवण्यांचो एक व्हड संवसार वसलो.,Negative
व्यायाम करचे पयलीं पांच मिणटां  वॉर्म अप  आनी करतकच  कूल अप  मुजरत करचें.,Positive
अग्नी थंड जाल्ल्यान भलायकेचेर खूब वायट परिणाम पडटा.,Positive
"एका वर्सांत ते थोडें थोडें उलोवपाक लागता, समजुपाक लागता.",Negative
रेडियम ब्रोम 30 : भोंकांत जावपी खाजी खातीर हें उपेगी वखद.,Positive
जर कोणूय दुसरो गाडी चलयता आसत जाल्यार सिटाचेर स्वताचे संतुळण दवरात.,Neutral
जून ते सप्टेम्बरा मेरेन दिसाची गरमी उणी आसता.,Negative
बाळंटेरा उपरांत अस्तुरेचो गर्भाशय आनी नळयो पोटाच्या वयल्या भागांत वतात.,Neutral
इडुक्की जिल्ल्यांतलो पांडिक्कुषी वाठार रान आनी रानवटी जिवांचे फोटोग्राफी खातीर योग्य आसा.,Positive
"हाचें उरफाटें, अशें जावंकूच शकना अशे चडश्या लोकांचें म्हणणें आशिल्लें.",Positive
रानांतलें जनावर सारंडा आशियेंतली पयली हतयां खातीर राखून दवरिल्ली सुवात.,Positive
"मूत, आवयचें दूद, दुकां, उकते घावे, बी.",Neutral
असल्या दुयेंसाच्या दुयेंतींच्यान सरळ चलूंक जमना.,Negative
नळयांनी सूज आयिल्ल्यान दुयेंतीक जोर येता.,Negative
गोमतेश्वरजीची ५७ फूट ऊंच आशिल्ली मूर्त जगांत फामाद आसा.,Positive
पंडीत ब्रजमोहन त्या वेळार नगरपालिकेचे सहाय्यक ऑफिसर आशिल्ले.,Neutral
रविंद्र भारती आनी विश्वविद्यालयान डी. लीटची उपाधी दिली.,Neutral
दर्यापातळे सावन हाची उंचाय 6861 मिटर म्हणल्यार 22510 फूट आसा.,Neutral
एआरडिएसाचे स्थितींत स्वासा वांगडा प्राणवायेची प्रक्रिया विफळ जाता.,Negative
"सवंग जनसमूहाची भावना आनी अनुभुतीचें प्रदर्शन करतात, मनशाचें न्हय.",Negative
बाबुनाचें तेल तकलेर चोळ्ळ्यार थंडेक लागून जावपी तकलीफोड ना जाता.,Negative
दिलीप कुमाराचो  राम और श्याम  हातूंतल्या गजेंद्राची याद जातकच आयज लेगीत आंगार कांटो उबो जाता.,Negative
रंगमाचयेच्या कलाकारा खातीर हात आनी बोटां हालोवप गरजेचे.,Neutral
"धौला कुवा वाठारांत कृ्त्रीम तळी , उदकाचे घोगे आनी खेळपाचीं मैदानां आसात.",Negative
१९२२त हे संबंदान पयलो येत्न केल्लो.,Positive
तिजाराच्या अतिशय क्षेत्रांत श्रद्धाळूंक रावपा खातीर 300 कुडींची धर्मशाळा बांदल्या.,Positive
हाका लागून मालदीवाचे बाराबारीचो मानतात.,Negative
पाचव्या पानांची भाजी आनी भाजयेंत लोखंडाचें तत्व भरपूर प्रमाणांत मेळटा.,Negative
हाका हेर पिकांच्या उत्पादना खातीर कार्बनीक सार्‍याच्या रुपांत वापर करूंक शकता.,Negative
"स्थानांगा भशेन नाट्य शास्त्रांत स्वर, ग्राम, मूर्च्छना हे शब्द सादारण आसात.",Negative
नागराचें कुल्लू सावन अंतर ७८ कि.मी. आसा.,Neutral
नाजाल्यार पर्व न्हाणांचेर तांचे पयलीं कोणाय दुसर्‍याच्यान संगमांत प्रवेश करूंक नजो.,Neutral
मे ते सप्टेंबर मध्य मेरेन ग्रॅण्ड केनयानाचेर पर्यटकांची गर्दी आसता.,Positive
"खूब मजा येता , पाचव्या तणाच्या दोंगराळ देगणांनी तंबू बांदून रावप.",Negative
वन्य जिवांचेर आदारीत आशिल्ल्या पर्यटनाक भारतांत अजून मेरेन प्राथमीकताय मेळूंक ना.,Neutral
चलयांनी गर्भाशयाच्या आनी स्तनांच्या कॅन्सराची थोडीभोव माहिती घेवपाक जाय.,Negative
देखून ताचें गायन सादारण श्रोत्यांच्या योग्य उरूंक ना.,Negative
हें दुयेंस चड करून 45 ते 65 वर्सांचे पिरायें मदीं जाता.,Negative
मातशी लेगीत भलायकी इबाडत जाल्यार रोखडेंच दोतोराक मेळपाक जाय.,Negative
दमो तशेंच खोंकली हे सारकिल्या दुयेंसांनी कांय वखदां दुयेंती स्वासा वांगडा वास घेवन पोटांत घेता.,Neutral
सामान्यपणान दोंगरांचेर दनपरां उपरांत मोसम इबाडटा.,Negative
ऊंच दोंगरांनी बर्फ विरगळिल्ल्यान हांगा थंड वारें मारपाक लागता.,Negative
"श्रीदेवी : ती दिसपाक जितली सुंदर आसा, तितलीच नाजुकसाणूय आसा.",Positive
सायलिशिया 30 : जर हाड फुलपाक लागून खड्डेचें हाड वाडत जाल्यार.,Negative
"उदक मनशाच्यो कोशिका ते हाडां, मासपेशी आनी रक्तांत मेळटा.",Neutral
पुराय पंगडा वांगडा शुक्राराक आमी जीम कॉर्बेटांत पावले.,Positive
खूब फावटीं भारता भायर संगीत सभेंनी स्वताचो सफळ कार्यक्रम केलो.,Positive
अविकसीत भुरग्यांचो यौन संसर्गजन्य दुयेंसाक लागून जावं येता.,Positive
सगळ्या तरेच्या लोखंडांक घडोवचें पयलीं तातूंत खुबशीं सुदारणां करची पडलीं.,Positive
"शवासन केल्ल्यान स्नायू दुर्बळटाय, थकवो तशेंच न्हयकारी चिंतन पयस जाता.",Negative
"जैवीक धान्य, गंव, बटाट, मसालो बी शेतकारां कडल्यान विकत घेवन विकतात.",Neutral
कागद दाब करपा खातीर दाब सुकवणी वरवीं सुकयल्ल्या फुलांचो वापर करतात.,Negative
उच्च रक्तदाबाच्या दुयेंती खातीर सांसवांचें तेल एक बरो पर्याय.,Positive
"गरम सूप स्कीन पोरसांक ( कातीचे रंध्र ) उकते करता, घाम तयार करता आनी थंडी काबार करता.",Negative
"जीं भुरगीं चोंचरें उलयतात, तांचे खातीर सिंवासन फायद्याचें.",Neutral
"गील सायबान न्यायालयांत वचून कायद्याची लडाय सुद्दां लढली, पूण कांयच जालें ना.",Positive
"खरें म्हणल्यार , काळोख जातकच राखणदार हांगाचे म्हामार्ग बंद करतात.",Neutral
पर्यटनाचे नदरेन आयज हें एक म्हत्वपूर्ण केंद्र.,Positive
हेंच कारण आसा की नाल्ल रेशेचें तरेकवार उद्येगीक वापर जाता.,Neutral
"पिडेस्त जर आपल्या आहाराचेर ताबो दवरीत, अर्दें दुयेंस आपुणूच काबार जाता.",Negative
आयज हो किल्लो मोलादीक कलाकृतीचें सोबीत संग्रहालय.,Positive
देवळांत विष्णू देवाची आनी लक्ष्मीजीची व्हड मूर्त आसा.,Positive
जर भुरग्याचे कुडीचें तापमान परत चडत जाल्यार स्पॉञ्जींग परत करूं येता.,Neutral
बेनिडियम-6( चार वरांनी ) : दुयेंतीच्यो शिरो आनी रोहिणी अशक्त जातात.,Negative
जम्मू विमानतळ शाराच्या मध्या सावन आठ किलोमिटरांचेर आसा.,Neutral
नक्षल विशयाचेर सिनेमा करप सोंपे न्हय.,Negative
शेळ्या जेवणाचो उपेग आपल्या आहारांत मातूय करचो न्हय.,Negative
"कोडाक संसर्गीक दुयेंस मानून लोक दुयेंतीक घृण करतात, ताच्या पसून पयस रावपाक सोदतात.",Negative
"धंयांत प्रथीन, जिवनसत्व, कॅल्शियम, खनीज लवण, कार्बोहायड्रेट, बी भरपूर प्रमाणांत आसता.",Positive
जांकां काळजा संबंदी कांयच समस्या ना आनी जे भलायकेवंत आसात.,Positive
तांचे खातीर ' युनीकम्पार्टमॅण्टल नी रिफिक्सींग आनी हीप रिफिक्सींग ' सारकिले पर्याय खूब फायदेशीर थारतात.,Negative
ह्या कर्मचारयांक विचारलें की कामा संबंदी रागा कडेन ते कशे तरेन झगडटात ?,Negative
शितोश्ण कटिबंधीय फळांचें क्षेत्रफळ भारतांत खूब उणें आसा.,Negative
1955 56त परत ताचें नांव जीम कॉर्बेट टायगर नॅशनल पार्क दवरलें.,Neutral
मुखेल रुपांत कॅसिनो आनी होटॅल वेवसायांतूच चड गुंतवणूक आसा.,Positive
मुंबयच्या फिल्म सिटींत रिलायंस स्टुडिओ हो चित्रीकरणा खातीर अती आधुनीक जागो आसा.,Neutral
जर तुमी दिसाच्या वा सांजेच्या योगासनाच्या वर्गाक नांव घालें जाल्यार बरें जातलें.,Positive
वायुरोधक वस्‍त्रांनी बरे तरेचे हलके रंग भरतात.,Positive
व्यायाम खाजगी प्रशिक्षकाचो सल्लो घेवनूच करात.,Neutral
डॅझर्ट राष्ट्रीय उद्यानाक म्हान भारतीय  वस्टर्डाचेर  खूब अभिमान आसा.,Positive
स्पायरुलिना ह्या दोनूय परिस्थितीं कडेन झगडपांत समर्थ म्हण मेळ्ळां.,Positive
व्हड व्हड देवदाराच्या रुखांनी वेश्टिल्ली जागेश्वर ही सैमाची एक अतुलनीय भेट.,Positive
संजय लीला भंसालीच्या सिनेमा  देवदास  हातूंत ताका योग्य रूपांत कथक पड्ड्याचेर दाखोवपाची संद मेळ्ळी.,Positive
इण्ट्रा युटेरीन कॉण्ट्रासॅप्टीव डिवायसाक ( आययुडी ) सामान्य भाशेंत कॉपर-टी ह्या नांवान वळखतात.,Negative
हातूंत जिवनसत्व  सी  तशेंच पॅक्टीन खूब चड प्रमाणांत मेळटा.,Positive
हांगा सादें जेवण मेळटा तेंय बी तुमी वेळार पावले जाल्यारूच.,Positive
हम लोग  हाच्या जैतान दुरदर्शनांत लाबखायरेपणाची प्रवृत्ती एकदम वाडयली.,Negative
बि. पी एचांत. रातचें न्हिदपा वेळार उणें उदक पियेवपाचो सल्लो दितात.,Negative
तलश्शेरीच्या ह्या कोटाच्यो वणटी खूब ऊंच आसात.,Positive
रातच्या हलक्या शिंयांत शिबिरांतल्या धगाचो अतिरेक हुपता.,Negative
गोंयांत हर्बल गार्डस पर्यटकां खातीर नवें आकर्शण जाता.,Positive
ह्या शक्‍तिक्रमांत 0 / 30 मेरेनूच कांय मुखेल वखदां मेळटात.,Positive
पयलींच्या नवदण्डीक आयचें  नांदेड  म्हणटात.,Neutral
पश्चिमी राजस्थानांत मिलेटा वांगडाच गंव आनी तेलबीं म्हत्वपूर्ण आसा.,Positive
ह्या अणभवांच्या आदाराचेर कुड्ड्याच्यान आपले स्थितीचो आनी दिशेचो अदमास घेवं येता.,Negative
हाचे कपडे तशेंच हांच्यो गजाली चडश्यो निर्रथक आनी उलट सुलट आसतात.,Neutral
मादाम तुसाद संग्रहालयांत आवडट्या नटा वांगडा तुमचो फोटो घेयात.,Positive
"मलावरोध जाता, भूक लागना आनी जीब फुट्‍टा.",Neutral
हांगा चैत्र म्हयन्यांत एक विशाळ जात्रा भरता.,Positive
26 फेब्रुवारी 2003क पयलो दुयेंती विमानांत मेळ्ळा.,Positive
चाचा गार्डाच्या नांवान फामाद मैनी दर खेपे लोकांचे मजती खातीर दिश्टी पडटाले.,Positive
बायलांनी ४० वर्सांचे पिराये उपरांत दर वर्सा मॅमोग्राफी मुजरत करची.,Neutral
ओलिम्पिया हें एलीस राष्ट्रांतलें एक ल्हानशें शार आशिल्लें.,Negative
ल्हानपणांत तो खूब चंचळ आनी हांसमूख सभावाचो आशिल्लो.,Positive
शाहजहांनान ह्याच किल्ल्यांत आपले जिणेचे निमणे दिस घालयलें.,Neutral
कांय एन्जायम पेशींच्या द्रव्याक भितर भायर करपाचें काम करतात.,Neutral
मिनीकॉय द्विपांत फामाद पोरणो प्रकाश स्तंभ पळोवपा सारको आसा.,Positive
"प्रकाशजीक तीन पूत जालें, दुर्गा प्रसाद, ठाकूर प्रसाद आनी मानजी.",Positive
मुगल शासकांनी भारतांत परमळीत पदार्थांच्या विकासांत आदार दिल्लो.,Neutral
"सायक्लॉन , ट्‍विस्टर आनी स्काय रायडर्स सगल्यांचे मजे खातीर आसा.",Positive
उलोवपाचे शब्द वा भाशेक नाटकीय तरेन दवरपाचे वयरय बी विशेश ध्यान दिवंक जाय.,Positive
श्रीनगरा उपरांत पीपलकोटींतूच सगल्यो गरजेच्यो वस्तू मेळूं येतात.,Neutral
गोड्यामुतांत शिरांनी जीव घेवपी व्हड आनी सुक्षीम आडखळी तयार जावं येतात.,Negative
जायत्या सुवातांचेर रस्तो येरादारी हे ट्रेनी वांगडाच जाता.,Positive
मध्य काळांतल्या भुतानांत चारूय दिशांनी लागिल्ले चार प्रवेशाचे दरवटे आशिल्ले.,Neutral
"चड करून जीं प्रवासी सवणीं हांगा आयिल्लीं , तें उडून तांचे वांगडा गेलें.",Neutral
"ह्याच आगळ्या रेंवटांत निवलकाणी , ज्वालामुखी आनी गरम उदकाचीं थळांय आसात.",Positive
ह्या खातीर तत्काळीन नवीनताय आशिल्ल्या समाचारांची सर्वश्रेश्ठ महत्वाची अट आसा.,Positive
ताचेर बंदी घालूंक जाय तशेंच दोशी तत्वांक ख्यास्त दिवंक जाय.,Negative
हाचे पसून वाटावपा खातीर नितळसाणी कडेन पुराय लक्ष दियात आनी वेळार तपासणी करून घेयात.,Positive
हाडां सामकीं अशक्त आसत पूण भुरगो थुलथुलीत दिसता.,Negative
आध्यात्मीकतायेंत बुडिल्ल्या लोकांक पळोवन तुमचे भितर एक नवी उमळशीक तयार जातली.,Positive
